,CD8,CD8_training,CD8_test,CD8_binary_training,CD8_binary_test,MCH
A048005080,0.224991591484104,0.224991591484104,NA,1,NA,-0.285427742494795
A048006063,-0.97454252753557,-0.97454252753557,NA,0,NA,-2.33353176490961
A048006555,0.19590969210935,0.19590969210935,NA,1,NA,0.0468180689957051
A048007096,NA,NA,NA,NA,NA,NA
A048010273,NA,NA,NA,NA,NA,NA
A048010371,1.77506881842261,1.77506881842261,NA,1,NA,NA
A048011040,-1.00648068736027,-1.00648068736027,NA,0,NA,-0.305314567179895
A048011287,-0.781086242107176,-0.781086242107176,NA,0,NA,-1.69273285169591
A048011567,1.79252039372883,1.79252039372883,NA,1,NA,-0.177824558931319
A048013559,NA,NA,NA,NA,NA,NA
A048015047,0.630498025349646,NA,0.630498025349646,NA,1,0.94693699308361
A048017615,NA,NA,NA,NA,NA,NA
A048019267,-1.7101721581167,NA,-1.7101721581167,NA,0,NA
A048021023,0.445403243320321,0.445403243320321,NA,1,NA,0.347146830766996
A048022858,0.20316368993191,0.20316368993191,NA,1,NA,2.47587153482305
A048023355,NA,NA,NA,NA,NA,NA
A048023581,NA,NA,NA,NA,NA,NA
A048028854,-0.335988640481819,-0.335988640481819,NA,0,NA,-0.539936962168979
A048028871,-2.29061284080028,NA,-2.29061284080028,NA,0,NA
A048029086,NA,NA,NA,NA,NA,-0.295356553332219
A048030529,NA,NA,NA,NA,NA,NA
A048031067,-0.107762113132544,-0.107762113132544,NA,0,NA,NA
A048031101,0.477040428489443,0.477040428489443,NA,1,NA,NA
A048031355,NA,NA,NA,NA,NA,NA
A048031545,-0.685691288399397,-0.685691288399397,NA,0,NA,0.231291168010466
A048031769,NA,NA,NA,NA,NA,NA
A048031794,NA,NA,NA,NA,NA,NA
A048031822,-1.18461371269513,-1.18461371269513,NA,0,NA,-1.39618687564041
A048032099,NA,NA,NA,NA,NA,NA
A048032883,NA,NA,NA,NA,NA,1.28335683670352
A048033069,NA,NA,NA,NA,NA,NA
A048033354,NA,NA,NA,NA,NA,NA
A048033618,NA,NA,NA,NA,NA,NA
A048034836,NA,NA,NA,NA,NA,NA
A048035291,-0.9688418277938,NA,-0.9688418277938,NA,0,-0.413672562030951
A048035543,NA,NA,NA,NA,NA,-1.16273580735885
A048035553,1.19544069584784,NA,1.19544069584784,NA,1,NA
A048035776,NA,NA,NA,NA,NA,1.3633100686421
A048036063,-0.307903150582881,-0.307903150582881,NA,0,NA,-0.645884080137785
A048036259,0.558364154775849,0.558364154775849,NA,1,NA,-0.0372907703658653
A048037297,NA,NA,NA,NA,NA,NA
A048038018,NA,NA,NA,NA,NA,NA
A048039054,-1.35575446107921,NA,-1.35575446107921,NA,0,NA
A048040045,0.550072710193054,NA,0.550072710193054,NA,1,0.593970796595253
A048040526,NA,NA,NA,NA,NA,-1.58357204698067
A048041122,NA,NA,NA,NA,NA,NA
A048041606,-2.80932572206737,-2.80932572206737,NA,0,NA,NA
A048041617,0.566694165088068,0.566694165088068,NA,1,NA,NA
A048042298,2.80932572206737,NA,2.80932572206737,NA,1,1.43064617872782
A048042578,0.57926356282872,NA,0.57926356282872,NA,1,0.738638429405728
A048042626,1.11572700581155,1.11572700581155,NA,1,NA,-1.58915538403058
A048042870,-1.43578394461799,-1.43578394461799,NA,0,NA,NA
A048043004,-0.56460799576486,-0.56460799576486,NA,0,NA,-0.218274566272752
A048043525,NA,NA,NA,NA,NA,NA
A048043833,NA,NA,NA,NA,NA,NA
A048044830,NA,NA,NA,NA,NA,NA
A048045845,NA,NA,NA,NA,NA,-0.0642964536201227
A048047040,-0.690196026222781,-0.690196026222781,NA,0,NA,NA
A048047298,-1.22879430803663,NA,-1.22879430803663,NA,0,-0.565815825402797
A048048118,1.7665419834786,NA,1.7665419834786,NA,1,-0.187503572665011
A048050779,2.03506859300615,2.03506859300615,NA,1,NA,-1.18485204842994
A048050833,0.326598429936684,0.326598429936684,NA,1,NA,NA
A048051064,NA,NA,NA,NA,NA,2.12550732156636
A048051824,NA,NA,NA,NA,NA,NA
A048052595,NA,NA,NA,NA,NA,-0.966999459630137
A048053604,NA,NA,NA,NA,NA,NA
A048053821,NA,NA,NA,NA,NA,NA
A048053860,NA,NA,NA,NA,NA,NA
A048054628,-0.30417718205564,-0.30417718205564,NA,0,NA,0.367439597909701
A048054885,NA,NA,NA,NA,NA,NA
A048055081,NA,NA,NA,NA,NA,NA
A048055545,1.4308183956064,NA,1.4308183956064,NA,1,NA
A048055872,-0.0649334966965995,-0.0649334966965995,NA,0,NA,NA
A048056266,-0.0293370917560526,-0.0293370917560526,NA,0,NA,0.759642421799446
A048056786,-1.59851199519026,NA,-1.59851199519026,NA,0,-0.820334723796644
A048057565,-0.0631520964679067,-0.0631520964679067,NA,0,NA,-1.06257510089642
A048057587,NA,NA,NA,NA,NA,NA
A048057608,-0.541818911050285,-0.541818911050285,NA,0,NA,NA
A048057823,NA,NA,NA,NA,NA,NA
A048057883,NA,NA,NA,NA,NA,NA
A048058059,NA,NA,NA,NA,NA,NA
A048058070,NA,NA,NA,NA,NA,NA
A048058554,NA,NA,NA,NA,NA,1.1721440163989
A048058769,1.57966154274531,1.57966154274531,NA,1,NA,0.382758635462562
A048058856,-0.334108253324302,-0.334108253324302,NA,0,NA,0.508989628885774
A048058878,NA,NA,NA,NA,NA,NA
A048059097,-0.453269614500834,NA,-0.453269614500834,NA,0,NA
A048059117,0.10955038917491,0.10955038917491,NA,1,NA,NA
A048059602,NA,NA,NA,NA,NA,NA
A048059836,NA,NA,NA,NA,NA,NA
A048060314,NA,NA,NA,NA,NA,NA
A048061051,-1.17392384143832,NA,-1.17392384143832,NA,0,NA
A048061341,1.44582265406998,NA,1.44582265406998,NA,1,0.91031155229098
A048061513,0.687941912287913,NA,0.687941912287913,NA,1,0.898371844501957
A048061517,0.377672688839601,0.377672688839601,NA,1,NA,-0.984878929578496
A048061864,NA,NA,NA,NA,NA,NA
A048062325,0.525420680633878,0.525420680633878,NA,1,NA,-0.3454623165578
A048063019,0.535652725737822,0.535652725737822,NA,1,NA,NA
A048063276,0.13462572466767,0.13462572466767,NA,1,NA,0.348832330613017
A048063277,-0.431702779790153,-0.431702779790153,NA,0,NA,-0.609180108884697
A048063778,NA,NA,NA,NA,NA,NA
A048064308,-0.0845437580298249,-0.0845437580298249,NA,0,NA,-1.89876837726218
A048064620,0.00266662898443208,0.00266662898443208,NA,1,NA,0.0309411712791953
A048064819,1.50383400338454,NA,1.50383400338454,NA,1,0.315302949752284
A048065035,NA,NA,NA,NA,NA,0.0452299141071603
A048066343,NA,NA,NA,NA,NA,NA
A048066372,-0.604682360331493,-0.604682360331493,NA,0,NA,NA
A048066594,0.802980828523762,NA,0.802980828523762,NA,1,-0.592079328787913
A048067278,NA,NA,NA,NA,NA,1.52011922882851
A048067524,NA,NA,NA,NA,NA,0.193965965131739
A048067529,NA,NA,NA,NA,NA,NA
A048067791,0.154386541782591,NA,0.154386541782591,NA,1,0.384466242575699
A048067887,1.06420897408798,1.06420897408798,NA,1,NA,-0.81590064708757
A048068026,0.624005286173478,0.624005286173478,NA,1,NA,NA
A048068077,1.04253626611962,1.04253626611962,NA,1,NA,-0.586417574915146
A048068368,0.517274518901092,NA,0.517274518901092,NA,1,-0.41021863840328
